mockid,event,distance_Mpc,sigma0_Mpc,kind,map_id,gwid,nside_native,rescaled_nside,n_pixels,window_captured_2d_prob,net_prob_to_galaxies,prob_to_galaxies_recomputed,mean_completeness_2dweighted,total_2d_prob_windowed,total_4d_prob_windowed,pix_area_deg2,recon_4d_sum,area_2d_50_deg2,area_4d_50_deg2,dArea_50_deg2,ratio_50_2d_over_4d,reduction_50_pct,area_2d_90_deg2,area_4d_90_deg2,dArea_90_deg2,ratio_90_2d_over_4d,reduction_90_pct
S190425z,S190425z,real,,parent,102,S190425z,256,256,201378,0.91,0.4543148029350167,0.4543148029348951,0.4992475685309886,0.9099990296831971,0.9099990296833539,0.052455852825697924,1.0,2805.7062000881047,1016.384604350723,1789.3215957373818,2.7604768786127165,63.774375081795576,10182.62523881883,8697.337766059192,1485.2874727596372,1.1707749558210647,14.586488630626736
S231206cc,S231206cc,real,,parent,105,S231206cc,512,256,8921,0.91,0.004420647033578917,0.004420647033573524,0.0048579623695505295,0.9099796781634052,0.9099796781634105,0.052455852825697924,1.0,117.92075715216893,117.71093374086614,0.2098234113027928,1.0017825311942958,0.17793594306049917,445.1403670788726,444.9305436675698,0.20982341130280702,1.0004715868898846,0.04713646005185355
GW190425_40Mpc,GW190425,40.0,8.0,mock,86,GW190425_40Mpc,256,256,201378,0.91,0.41353519788891047,0.4135351978887615,0.4544347679499483,0.9099990296831963,0.9099990296833502,0.052455852825697924,1.0,2805.7062000881047,478.55474532884216,2327.1514547592624,5.862874054587307,82.9435189859218,10182.62523881883,9098.415216764479,1084.2100220543507,1.1191647112407683,10.64764730730793
GW190425_80Mpc,GW190425,80.0,16.0,mock,87,GW190425_80Mpc,256,256,201378,0.91,0.4280457300572676,0.4280457300571303,0.4703804246979786,0.9099990296831963,0.9099990296833426,0.052455852825697924,1.0,2805.7062000881047,481.38736138142986,2324.318838706675,5.828375286041189,82.842559874362,10182.62523881883,8523.60398150048,1659.021257318349,1.1946384722846188,16.29266734666544
GW190425_100Mpc,GW190425,100.0,20.0,mock,88,GW190425_100Mpc,256,256,201378,0.91,0.4201674441276383,0.42016744412743845,0.46172295840108085,0.9099990296831963,0.909999029683404,0.052455852825697924,1.0,2805.7062000881047,793.7095091056353,2011.9966909824693,3.5349282929085977,71.7108830183035,10182.62523881883,8600.818996859909,1581.8062419589205,1.1839134438867305,15.53436569509267
GW190425_150Mpc,GW190425,150.0,30.0,mock,89,GW190425_150Mpc,256,256,201378,0.91,0.5133892561755491,0.5133892561753995,0.5641646193338569,0.9099990296831963,0.9099990296833991,0.052455852825697924,1.0,2805.7062000881047,707.5245429130136,2098.181657175091,3.965524911032028,74.78265746816983,10182.62523881883,8166.6943588744325,2015.930879944397,1.2468478421448161,19.797751882875367
GW190425_200Mpc,GW190425,200.0,40.0,mock,90,GW190425_200Mpc,256,256,201378,0.91,0.3269970620843451,0.32699706208418255,0.3593378140172546,0.9099990296831963,0.9099990296833876,0.052455852825697924,1.0,2805.7062000881047,1773.7422074481497,1031.963992639955,1.5818004376885313,36.78090003178342,10182.62523881883,9479.19225242622,703.4329863926087,1.0742081147486553,6.908169257874072
GW190425_400Mpc,GW190425,400.0,80.0,mock,91,GW190425_400Mpc,256,256,201378,0.91,0.2654660877849466,0.2654660877847419,0.2917212866448443,0.9099990296831963,0.909999029683416,0.052455852825697924,1.0,2805.7062000881047,2441.610125624936,364.09607446316886,1.149121299359773,12.9769850617907,10182.62523881883,10018.12368435744,164.50155446138888,1.0164203956393796,1.6155122142202185
GW190425_700Mpc,GW190425,700.0,140.0,mock,92,GW190425_700Mpc,256,256,201378,0.91,0.06859814569626588,0.06859814569613147,0.07538265806724319,0.9099990296831963,0.9099990296833327,0.052455852825697924,1.0,2805.7062000881047,2773.498306453126,32.20789363497852,1.0116127323964972,1.1479424906986744,10182.62523881883,10161.013427454642,21.611811364187815,1.0021269346328974,0.21224203834781172
GW190425_1000Mpc,GW190425,1000.0,200.0,mock,93,GW190425_1000Mpc,256,256,201378,0.91,0.0184851954623797,0.01848519546223102,0.020313423266688963,0.9099990296831963,0.9099990296833455,0.052455852825697924,1.0,2805.7062000881047,2802.5063930657375,3.1998070223671675,1.0011417661812598,0.11404640379903952,10182.62523881883,10180.107357883197,2.517880935633002,1.0002473334363888,0.02472722776867189
S231206cc_40Mpc,S231206cc,40.0,8.0,mock,94,S231206cc_40Mpc,256,256,8921,0.91,0.2677940679289147,0.2677940679289068,0.2942857674243792,0.9099796781634039,0.9099796781634121,0.052455852825697924,1.0,117.92075715216893,64.36333141713135,53.55742573503758,1.8321108394458028,45.418149466192176,445.1403670788726,422.2171593940426,22.923207684830004,1.0542924586905207,5.149658260664626
S231206cc_80Mpc,S231206cc,80.0,16.0,mock,95,S231206cc_80Mpc,256,256,8921,0.91,0.7759925155817955,0.7759925155817886,0.8527580716395347,0.9099796781634039,0.9099796781634124,0.052455852825697924,1.0,117.92075715216893,2.570336788459198,115.35042036370973,45.87755102040816,97.8202846975089,445.1403670788726,195.08331665877057,250.05705042010203,2.281796181769293,56.17487626679237
